iter	Passed	Remaining
0	1	162
1	3	149
2	4	139
3	5	129
4	6	127
5	8	125
6	9	123
7	10	123
8	12	122
9	13	120
10	14	119
11	16	118
12	17	116
13	18	115
14	20	113
15	21	112
16	22	110
17	24	109
18	25	108
19	26	106
20	28	105
21	29	103
22	30	102
23	31	101
24	33	99
25	34	98
26	35	96
27	37	95
28	39	96
29	40	94
30	41	92
31	42	90
32	43	89
33	45	88
34	46	86
35	47	84
36	48	82
37	49	80
38	50	79
39	51	77
40	52	75
41	52	73
42	53	71
43	54	69
44	55	68
45	56	66
46	57	65
47	59	64
48	60	62
49	61	61
50	62	59
51	63	58
52	63	56
53	64	55
54	65	53
55	66	52
56	67	51
57	68	49
58	69	48
59	70	47
60	71	45
61	72	44
62	73	43
63	74	42
64	76	40
65	76	39
66	77	38
67	78	37
68	79	35
69	80	34
70	81	33
71	82	32
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	24
78	89	23
79	90	22
80	91	21
81	92	20
82	93	19
83	94	17
84	95	16
85	96	15
86	96	14
87	97	13
88	98	12
89	99	11
90	101	9
91	102	8
92	103	7
93	104	6
94	105	5
95	106	4
96	107	3
97	108	2
98	109	1
99	110	0
